Province,Luas_Panen_ha,Produktivitas_ku_ha,Produksi_ton,Year,Productivity_per_ton,Production_efficiency
ACEH,329515.78,56.49,1861567.1,2018,5.649,5.649401980081197
SUMATERA UTARA,408176.45,51.65,2108284.72,2018,5.165,5.1651307173650025
SUMATERA BARAT,313050.82,47.37,1483076.48,2018,4.737,4.737494314820833
RIAU,71448.08,37.28,266375.53,2018,3.728,3.7282391633197145
JAMBI,86202.68,44.44,383045.74,2018,4.444,4.443547926816197
SUMATERA SELATAN,581574.61,51.48,2994191.84,2018,5.148,5.14842255579211
BENGKULU,65891.16,43.83,288810.52,2018,4.383,4.3831451745575585
LAMPUNG,511940.93,48.61,2488641.91,2018,4.861,4.861189571226509
BANGKA BELITUNG,17233.59,26.53,45724.69,2018,2.653,2.6532306965640937
KEPULAUAN RIAU,375.87,29.19,1097.0,2018,2.919,2.918562268869556
JAKARTA,673.37,72.76,4899.14,2018,7.276000000000001,7.275554301498434
JAWA BARAT,1707253.81,56.51,9647358.75,2018,5.651,5.650805225029781
JAWA TENGAH,1821983.17,57.63,10499588.23,2018,5.763,5.762725146357966
YOGYAKARTA,93956.45,54.81,514935.49,2018,5.481,5.480576266983268
JAWA TIMUR,1751191.67,58.26,10203213.17,2018,5.826,5.826439986435066
BANTEN,344836.06,48.94,1687783.3,2018,4.894,4.8944512937539075
BALI,110978.37,60.11,667069.06,2018,6.011,6.0108024653813175
NUSA TENGGARA BARAT,289242.59,50.49,1460338.81,2018,5.049,5.04883741360496
NUSA TENGGARA TIMUR,218232.91,41.24,899935.88,2018,4.1240000000000006,4.123740456927417
KALIMANTAN BARAT,286476.03,27.92,799715.21,2018,2.7920000000000003,2.7915606412166487
KALIMANTAN TENGAH,147571.69,34.88,514769.05,2018,3.4880000000000004,3.488264246346979
KALIMANTAN SELATAN,323091.21,41.09,1327492.41,2018,4.109,4.10872338495374
KALIMANTAN TIMUR,64961.16,40.45,262773.88,2018,4.045,4.045092175078154
KALIMANTAN UTARA,13707.0,32.88,45063.53,2018,3.2880000000000003,3.2876289487123365
SULAWESI UTARA,70352.62,46.47,326929.74,2018,4.647,4.647015846744585
SULAWESI TENGAH,201279.24,46.05,926978.66,2018,4.6049999999999995,4.605436010191613
SULAWESI SELATAN,1185484.1,50.21,5952616.45,2018,5.021,5.021253722424451
SULAWESI TENGGARA,136673.75,39.43,538876.14,2018,3.943,3.942791794327733
GORONTALO,56631.64,47.6,269540.4,2018,4.76,4.7595372480825215
SULAWESI BARAT,65303.78,48.46,316478.37,2018,4.846,4.846248869514138
MALUKU,29052.14,40.01,116228.86,2018,4.0009999999999994,4.000698743707004
MALUKU UTARA,13412.75,36.57,49047.11,2018,3.657,3.6567527166315634
PAPUA BARAT,7767.01,32.15,24967.13,2018,3.215,3.2145098306813047
PAPUA,52411.95,42.57,223119.42,2018,4.257,4.257033367390452
