Province,Luas_Panen_ha,Produktivitas_ku_ha,Produksi_ton,Year,Productivity_per_ton,Production_efficiency,Produksi_lag1,Produktivitas_lag1,Area_lag1,Produksi_ma3,Produktivitas_ma3
ACEH,329515.78,56.49,1861567.1,2018,5.649,5.649401980081197,,,,1861567.1,56.49
ACEH,310012.46,55.3,1714437.6,2019,5.529999999999999,5.530221591738603,1861567.1,56.49,329515.78,1788002.35,55.894999999999996
ACEH,317869.41,55.28,1757313.07,2020,5.5280000000000005,5.528412029329907,1714437.6,55.3,310012.46,1777772.59,55.69
ACEH,297058.38,55.03,1634639.6,2021,5.503,5.502755384312,1757313.07,55.28,317869.41,1702130.09,55.203333333333326
ACEH,271750.2,55.55,1509456.0,2022,5.555,5.55457180896279,1634639.6,55.03,297058.38,1633802.89,55.28666666666667
ACEH,254287.38,55.22,1404234.82,2023,5.522,5.522235590299448,1509456.0,55.55,271750.2,1516110.14,55.26666666666667
ACEH,301196.35,55.11,1659966.28,2024,5.511,5.511243014731089,1404234.82,55.22,254287.38,1524552.366666667,55.29333333333333
BALI,110978.37,60.11,667069.06,2018,6.011,6.0108024653813175,,,,667069.06,60.11
BALI,95319.34,60.78,579320.53,2019,6.078,6.077680877773598,667069.06,60.11,110978.37,623194.795,60.445
BALI,90980.69,58.49,532168.45,2020,5.849,5.8492461422308395,579320.53,60.78,95319.34,592852.68,59.79333333333333
BALI,105201.31,58.83,618910.81,2021,5.883,5.883109345311385,532168.45,58.49,90980.69,576799.93,59.36666666666667
BALI,112320.6,60.59,680601.6,2022,6.059,6.0594548106046435,618910.81,58.83,105201.31,610560.2866666666,59.303333333333335
BALI,108514.06,62.07,673580.65,2023,6.207,6.2073122137352525,680601.6,60.59,112320.6,657697.6866666666,60.49666666666667
BALI,103803.93,61.22,635473.35,2024,6.122,6.121862149149845,673580.65,62.07,108514.06,663218.5333333333,61.29333333333333
BANGKA BELITUNG,17233.59,26.53,45724.69,2018,2.653,2.6532306965640937,,,,45724.69,26.53
BANGKA BELITUNG,17087.81,28.56,48805.68,2019,2.856,2.8561693979509366,45724.69,26.53,17233.59,47265.185,27.545
BANGKA BELITUNG,17840.55,32.13,57324.32,2020,3.213,3.213147576728296,48805.68,28.56,17087.81,50618.23,29.073333333333334
BANGKA BELITUNG,18278.27,38.57,70496.25,2021,3.857,3.856833825083008,57324.32,32.13,17840.55,58875.416666666664,33.086666666666666
BANGKA BELITUNG,15107.8,40.66,61425.07,2022,4.066,4.06578522352692,70496.25,38.57,18278.27,63081.880000000005,37.12
BANGKA BELITUNG,15284.56,43.49,66468.89,2023,4.349,4.348760448452556,61425.07,40.66,15107.8,66130.06999999999,40.906666666666666
BANGKA BELITUNG,18202.56,42.57,77489.79,2024,4.257,4.257081970887611,66468.89,43.49,15284.56,68461.25,42.24
BANTEN,344836.06,48.94,1687783.3,2018,4.894,4.8944512937539075,,,,1687783.3,48.94
BANTEN,303731.8,48.41,1470503.35,2019,4.840999999999999,4.841453380910396,1687783.3,48.94,344836.06,1579143.3250000002,48.675
BANTEN,325333.24,50.88,1655170.09,2020,5.088,5.087614441118897,1470503.35,48.41,303731.8,1604485.58,49.41
BANTEN,318248.46,50.38,1603247.0,2021,5.038,5.037721156608267,1655170.09,50.88,325333.24,1576306.8133333335,49.89000000000001
BANTEN,337240.7,53.04,1788583.0,2022,5.304,5.303579905984064,1603247.0,50.38,318248.46,1682333.3633333333,51.43333333333334
BANTEN,311199.73,54.19,1686483.29,2023,5.419,5.419295479465872,1788583.0,53.04,337240.7,1692771.0966666667,52.53666666666667
BANTEN,299090.79,51.84,1550623.46,2024,5.184,5.184457401714042,1686483.29,54.19,311199.73,1675229.9166666667,53.02333333333333
BENGKULU,65891.16,43.83,288810.52,2018,4.383,4.3831451745575585,,,,288810.52,43.83
BENGKULU,64406.86,46.03,296472.07,2019,4.603,4.603113239800853,288810.52,43.83,65891.16,292641.29500000004,44.93
BENGKULU,64137.28,45.66,292834.04,2020,4.566,4.565738366204491,296472.07,46.03,64406.86,292705.54333333333,45.173333333333325
BENGKULU,55704.69,48.67,271117.19,2021,4.867,4.867044229130437,292834.04,45.66,64137.28,286807.76666666666,46.78666666666667
BENGKULU,57151.84,49.27,281610.1,2022,4.9270000000000005,4.927402162380074,271117.19,48.67,55704.69,281853.7766666666,47.86666666666667
BENGKULU,57877.18,49.53,286684.43,2023,4.953,4.953324090772909,281610.1,49.27,57151.84,279803.9066666667,49.156666666666666
